bnf_chapter,items,total_quantity,nic
Endocrine System,49374366,2322391202.0,807774074.48
Central Nervous System,80819813,5296101419.0,547955058.48
Respiratory System,24554745,563607937.0,419323704.39
Cardiovascular System,130809716,4603021487.0,414526521.83
Appliances,14032763,2488817484.5,321050528.09
Nutrition and Blood,24255645,12343790577.9,319874150.5
Gastro-Intestinal System,40092646,2996456046.0,237329022.28
Stoma Appliances,2711847,258973775.2,151125396.72
Skin,9033442,1512121167.0,106268499.63
"Obstetrics, Gynaecology and Urinary-Tract Disorders",12621433,490238912.0,104275418.4
